name,reactants,products,type,conditions,energy_barrier
water_formation,H2+0.5O2,H2O,redox,UV_light,low
carbon_dioxide_formation,CO+0.5O2,CO2,redox,thermal,medium
methane_oxidation,CH4+2O2,CO2+2H2O,combustion,thermal,high
water_gas_shift,CO+H2O,CO2+H2,equilibrium,thermal,medium
methanation,CO+3H2,CH4+H2O,catalytic,high_pressure,high
formaldehyde_formation,CH4+O2,H2CO+H2O,partial_oxidation,UV,medium
hydrogen_cyanide_formation,CH4+NH3,HCN+3H2,pyrolysis,high_temp,high
ammonia_formation,0.5N2+1.5H2,NH3,catalytic,high_pressure,medium
formic_acid_formation,CO+H2O,HCOOH,hydration,aqueous,low
glycine_formation,HCN+H2CO+NH3,C2H5NO2,strecker,aqueous,medium
acetylene_formation,2CH4,C2H2+3H2,cracking,high_temp,high
ethylene_formation,C2H2+H2,C2H4,hydrogenation,catalytic,low
ethane_formation,C2H4+H2,C2H6,hydrogenation,catalytic,low
formaldehyde_reduction,H2CO,H3COH,reduction,catalytic,medium
methanol_oxidation,CH3OH,H2CO,oxidation,thermal,medium
formose_reaction,2H2CO,C2H4O2,condensation,basic,low
ribose_formation,5H2CO,C5H10O5,formose,basic,medium
amino_acid_hydrolysis,R-CN,R-COOH+NH3,hydrolysis,aqueous,low
peptide_formation,2C2H5NO2,C4H8N2O3+H2O,condensation,thermal,high
sulfide_formation,H2+S,H2S,gas_phase,thermal,low
sulfur_dioxide_formation,S+O2,SO2,oxidation,thermal,medium
sulfuric_acid_formation,SO2+0.5O2+H2O,H2SO4,oxidation,aqueous,low
nitric_oxide_formation,0.5N2+0.5O2,NO,thermal,high_temp,high
nitrogen_dioxide_formation,NO+0.5O2,NO2,oxidation,thermal,medium
nitric_acid_formation,NO2+0.5O2+0.5H2O,HNO3,oxidation,aqueous,low
ozone_formation,1.5O2,O3,photochemical,UV,medium
hydroperoxyl_formation,H2+O2,HO2,radical,UV,low
hydroxyl_formation,H2O+O,2OH,photodissociation,UV,high
carbon_monoxide_oxidation,CO+OH,CO2+H,radical,gas_phase,low
methane_chlorination,CH4+Cl2,CH3Cl+HCl,substitution,UV,medium
phosphine_formation,P+1.5H2,PH3,reduction,high_pressure,high
phosphine_oxidation,PH3+2O2,H3PO4,oxidation,aqueous,medium
carbonyl_sulfide_formation,CO+S,COS,gas_phase,thermal,medium
hydrogen_sulfide_oxidation,H2S+1.5O2,SO2+H2O,oxidation,thermal,high
formamide_formation,HCN+H2O,NH2CHO,hydration,aqueous,low
urea_formation,2NH3+CO2,NH2CONH2+H2O,condensation,aqueous,medium
pyruvic_acid_formation,C2H4O2+CO2,C3H4O3,carboxylation,enzymatic,high
lactic_acid_formation,C3H4O3,C3H6O3,reduction,fermentation,medium
acetic_acid_formation,CH3OH+CO,CH3COOH,carbonylation,catalytic,high
acetyl_coa_formation,CH3COOH+CoA,CH3COCoA,condensation,enzymatic,high
citric_acid_formation,C2H4O2+C4H6O5,C6H8O7,condensation,enzymatic,medium
atp_formation,ADP+Pi,ATP,phosphorylation,enzymatic,high